title,place,company,date,tags,description,requisites,url
Python Developer,Local da vaga: Curitiba ou remoto,Empresa: Celero,Postada: 26 de Fevereiro de 2019,Django,"
                            ,Estamos em busca de um(a) Python Developer para o time de desenvolvimento!,Temos um grande caminho pela frente e você terá bastante liberdade para desenvolver 😉,Você irá planejar, desenvolver e implementar novas funcionalidades na plataforma Celero.,Trabalhará com Python e Django no desenvolvimento de aplicações em um ambiente que valoriza as boas práticas de programação (ex. testes automatizados, unitários, code review, etc) e um método de trabalho ágil.,Oportunidade para trabalhar no escritório em Curitiba ou remoto.,Enviar o currículo com pretensão salarial para carreira@celero.com.br informando no título da vaga ""Python Developer - Pyjobs"" ou cadastrar pelo PyJobs.","
                            ,O que precisamos que você tenha:,* Sólida experiência comercial com Python + Django;,* Autonomia e pró-atividade;,* Modelagem e consumo de API's RESTful;,* Experiência com Git para versionamento de código.,Será um diferencial:,* Bacharel em Ciências da Computação ou equivalente;,* Experiência anterior com Testes unitários;,* Modelagem de bancos de dados relacionais (preferencialmente PostgreSQL),* Experiência anterior com NoSQL;,* AWS (preferencialmente EC2, RDS e S3);,* Ser autodidata;,* Ter espírito empreendedor;,* Conhecer o ambiente de startups;,* Experiência na área de gestão financeira.",https://pyjobs.com.br/job/390/
Desenvolvedor Python,Local da vaga: São Paulo,Empresa: Concil,Postada: 15 de Março de 2019,"AWS,Python","
                            ,Programador Python Sênior/ Pleno","
                            ,Experiência em AWS,- Serverless (Não Obrigatório, mas é um diferencial importante ),- API ( API Gateway / AWS ),- Conhecimentos em Arquitetura de Micro serviços,- Banco de dados relacional ( Preferencial Oracle ) e Não Relacional ( Dynamo/AWS ),- Mínimo de Experiência de 2 anos,enviar email com cv e pretensão salarial para darlei.soares@concil.com.br",https://pyjobs.com.br/job/402/
Desenvolvedor Django e mais!,Local da vaga: Remoto,Empresa: Nth.work,Postada: 19 de Março de 2019,"Node.js,Django,Express.js,Python","
                            ,Full-stack, multi-tech, software development - Frontend, Backend and Blockchain ,The Project: ,Multiple projects, from a blockchain based carpooling app to electric vehicles in California, to financial mobile apps to Brazil and innovative PropTech and IoT devices applications and more.,Specific tasks will include: ,Coding web and apps (both front and backend), as well as blockchain Dapps, IoT devices, setting up servers. A bit of everything. : ),Organisation website:,https://nth.work","
                            ,- Python, Django (REST),- Node, Express (bonus)",https://pyjobs.com.br/job/404/
Engenheiro Back-end na Letrus,Local da vaga: Pinheiros - São Paulo,Empresa: Letrus,Postada: 15 de Março de 2019,"API,Django,Python","
                            ,Na Letrus você irá:,- Trabalhar com uma equipe de alto nível que usa as melhores práticas e as melhores ferramentas.,- Aprender muito.,- Fazer parte de um projeto de alto impacto social que afetará a vida de muitas pessoas.,- Trabalhar em um ambiente informal e com hierarquia horizontal.,Responsabilidades para a vaga de engenheiro de back-end na Letrus:,- Desenvolver e documentar API REST;,- Implementar, testar e manter funcionalidades da plataforma;,- Interagir de perto com nossos designers, engenheiros de back-end e front-end para garantir a implementação perfeita e rápida de aplicações complexas;,- Fornecer alta produtividade como colaborador individual em uma variedade de projetos e cumprir prazos;,- Encontrar e resolver problemas de desempenho;,- Resolver problemas técnicos e comunicar claramente soluções aos membros da equipe;,- Criar documentação para equipes internas;,- Realizar revisões de código, com feedback valioso e orientação, para os outros desenvolvedores;,- Pesquisar e comunicar as melhores práticas de back-end.","
                            ,São necessários:,- Domínio de Python e experiência no uso do Django;,- Experiência na construção de API REST;,- Excelente conhecimento e compreensão de estruturas de dados e algoritmos relacionados;,- Experiência trabalhando com MySQL, demonstrando capacidade de escrever consultas eficientes e benchmark/perfil delas;,- Boas habilidades de comunicação.,São desejáveis:,- Conhecimentos em NLP,- Conhecimento de docker e sistemas de orquestração;,- Experiência com Redis / Celery;,- Familiaridade com metodologias Ágeis;,- Conhecimento de docker e sistemas de containers;,- Noções de infraestrutura e AWS",https://pyjobs.com.br/job/400/
Programador Python Jr (Trainee),Local da vaga: Taboão da Serra - São Paulo,Empresa: TWV SOLUÇÕES INTELIGENTES EM TECNOLOGIA LTDA - ME,Postada: ontem,Python,"
                            ,Atuar com desenvolvimentos e manutenção em plataformas web;,Projetos de RPA (automação robótica de processos), Web Scraping, Web Crawling;,Desenvolver soluções em Python utilizando data frame e banco de dados, APIs, bibliotecas e componentes;,Apoiar tecnicamente o cliente sugerindo soluções adequadas as necessidades dos projetos, buscar técnicas e tecnologias emergentes para aumentar a taxa de sucesso do projeto.","
                            ,Lógica de programação;,Programação Python;,JavaScript;,jQuery;,HTML;,CSS;,SQL;,Linguagem R.",https://pyjobs.com.br/job/407/
Desenvolvedor,Local da vaga: Vila Mariana São Paulo,Empresa: Confidencial,Postada: 16 de Março de 2019,"PHP,Python","
                            ,Desenvolvedor Sênior ,Para projeto de Médio Prazo.,Poder ser PJ ou CLT","
                            ,Projeto de Integração",https://pyjobs.com.br/job/403/
Back-end Python/Django,Local da vaga: Recreio dos Bandeirantes - Rio de Janeiro,Empresa: Brbid,Postada: ontem,"Django,Python","
                            ,Brbid – Rio de Janeiro, RJ,Estamos procurando alguém que esteja motivado a criar soluções junto com nosso time. Esta pessoa entrará para squad do Brpatio, um produto que gerencia pátios de veículos apreendidos em conjunto com órgãos. Não é necessário ser um expert. Procuramos alguém que queira evoluir junto com a gente, aprender e somar forças nesse momento de expansão.,Benefícios:,Contratação CLT,Vale refeição ou Alimentação (R$22/dia),Vale transporte ou combustível,Plano de saúde Amil,Horários flexíveis,Como se Candidatar:,Currículo + Pretensão para o email guilherme.jardim@brbid.com,Assunto: Vaga Back-end Python/Django,Local:,Brbid – Americas Avenue Business Square,Recreio dos Bandeirantes, próximo ao Terminal Salvador Allende.","
                            ,Requisitos:,Gostar de desenvolver em Python,Saber desenvolver em Django,Noção com desenvolvimento em ambiente Linux,Versionamento de código com Git,Desejável:,Celery,Metodologias ágeis (Scrum ou Kanban),Bootstrap,AWS,PEP8,Soulth,Bons conhecimentos de padrões de projeto, refatoração e testes unitários.",https://pyjobs.com.br/job/408/
Líder de Produto,Local da vaga: Belo Horizonte,Empresa: Vulpi,Postada: 20 de Março de 2019,"React.js,React Native,Python","
                            ,👔 Vaga: Líder de Produto,💼 Senioridade: Senior,🏣 Empresa: Vulpi,📍 Localização: Belo Horizonte,👉 Candidatar: http://bit.ly/vulpi_lidergithub","
                            ,Python e React",https://pyjobs.com.br/job/406/
Desenvolvedor Python,Local da vaga: São Paulo,Empresa: Concil,Postada: 15 de Março de 2019,"AWS,Python","
                            ,Programador Python Sênior/ Pleno","
                            ,Experiência em AWS,- Serverless (Não Obrigatório, mas é um diferencial importante ),- API ( API Gateway / AWS ),- Conhecimentos em Arquitetura de Micro serviços,- Banco de dados relacional ( Preferencial Oracle ) e Não Relacional ( Dynamo/AWS ),- Mínimo de Experiência de 2 anos,enviar email com cv e pretensão salarial para darlei.soares@concil.com.br",https://pyjobs.com.br/job/401/
Desenvolvedora(dor) Serverless na ONLi,Local da vaga: Curitiba - Paraná,Empresa: ONLi Seguros,Postada: 26 de Fevereiro de 2019,"Sails.js,PostgreSQL,API,Python,MySQL,Java,Node.js,JavaScript,Spring","
                            ,Olá!,A ONLi é uma Startup especializada em soluções de seguro.,Estamos procurando alguém que possa compor nosso time na parte do Back-End. Ele está totalmente serverless, e totalmente em Node.js. Estamos precisando criar mais serviços que não necessariamente precisam ser em Node.js,O que utilizamos no back:,* Node.js,* AWS DynamoDB,* Aurora Serverless Database,* AWS Lambda,* API Gateway - REST API e WebSockets,Utilizamos no Front:,* WebSockets,* Vue.js,* Nuxt.js,Benefícios:,* Horário Flexível,* Escritório localizado na área do Água verde.,Salário: 3.5k,Regime: PJ","
                            ,Estamos procurando um desenvolvedor com apenas UM requisito:,* Dominar uma dessas linguagens: Python, JavaScript, TypeScript ou Java,Diferenciais:,* Ter algum projeto utilizando Serverless (https://serverless.com/),* Ter algum projeto utilizando Apex (http://apex.run/),* Ter algum projeto utilizando Up (https://github.com/apex/up),* Ter algum projeto utilizando Zappa (https://github.com/Miserlou/Zappa),* Ter algum projeto utilizando Firebase,* Dominar Node.js,* Contribuições Open Source",https://pyjobs.com.br/job/391/
